B;S;H0;H;Q;W;R;dB
3,00;3,00;3,50;6,00;170,00;11,75;46,46;122,60
2,50;2,50;3,23;6,00;327,50;13,00;40,91;125,30
2,50;3,00;3,48;7,00;144,40;16,55;82,44;125,60
2,50;3,00;3,69;5,50;159,90;8,50;101,59;125,20
3,00;2,50;3,18;6,00;164,00;13,25;62,73;125,20
2,50;3,00;3,00;5,50;920,00;11,75;50,84;128,50
3,00;4,00;2,70;6,00;393,00;15,50;112,73;125,00
2,50;2,50;3,03;5,00;54,75;9,25;110,72;125,00
2,50;2,50;1,92;5,00;131,00;14,50;35,25;124,90
2,50;2,50;3,23;6,00;140,25;13,00;137,10;124,80
2,00;2,50;1,96;4,20;352,65;10,55;76,95;124,70
3,00;2,50;3,18;6,00;164,00;13,25;73,12;124,70
2,50;2,50;2,90;4,50;83,00;7,50;61,37;124,70
2,50;2,50;1,92;5,00;131,00;14,50;91,57;122,80
3,00;2,50;2,81;6,00;251,00;15,00;76,08;124,50
2,50;3,00;3,16;5,50;682,00;11,00;29,61;122,80
2,50;3,00;3,27;5,50;600,00;10,50;50,49;124,50
2,50;4,00;3,69;5,50;332,00;8,50;110,68;124,50
3,00;2,50;4,56;6,00;62,50;6,75;77,95;124,50
2,50;2,50;2,63;5,50;680,00;13,50;152,85;124,40
2,50;3,00;3,26;5,50;400,00;10,55;124,45;124,40
3,00;2,50;3,60;5,30;117,00;8,00;86,33;124,40
3,00;2,50;2,03;4,70;690,00;12,55;121,27;124,30
3,00;2,50;3,18;6,00;164,00;13,25;79,03;124,30
2,50;3,00;3,26;5,50;75,00;10,55;46,64;124,30
3,00;3,00;2,98;5,00;126,60;9,50;61,23;124,20
2,50;3,00;3,27;5,50;600,00;10,50;32,88;123,40
2,00;2,00;2,57;3,00;30,00;2,00;23,97;125,50
2,50;3,00;3,77;6,00;63,50;10,50;117,66;117,60
2,50;3,00;2,83;7,30;1060,00;21,00;114,47;123,90
2,50;3,00;2,70;6,00;865,25;15,50;173,03;123,90
3,00;3,50;3,79;5,50;48,30;8,05;121,26;118,50
2,50;3,00;4,33;7,00;96,50;12,55;74,33;123,90
3,00;3,00;1,70;5,00;260,00;15,50;75,93;123,80
2,50;2,50;2,81;6,00;385,00;15,00;67,33;123,80
3,00;3,00;2,84;5,50;450,00;12,50;32,31;123,80
3,00;2,50;3,07;5,30;252,50;10,50;39,81;123,80
2,50;2,50;2,06;4,30;586,50;10,55;98,35;123,70
3,00;3,00;3,50;6,00;285,00;11,75;56,38;123,70
3,00;3,00;3,50;6,00;270,00;11,75;55,00;123,70
3,00;3,50;3,79;5,50;48,30;8,05;101,33;123,50
2,50;3,00;3,27;5,50;600,00;10,50;45,88;123,50
3,00;3,00;3,50;6,00;170,00;11,75;128,69;123,50
2,50;3,00;3,07;5,30;682,00;10,50;33,92;123,50
3,00;3,00;3,50;6,00;315,25;11,75;38,48;123,70
2,50;2,50;2,20;5,50;959,00;15,50;35,46;123,40
2,50;3,00;2,76;5,00;108,90;10,55;92,89;119,00
2,50;2,50;3,26;5,30;130,00;9,60;63,16;124,00
2,50;2,50;2,80;4,50;17,00;8,00;58,16;123,40
2,50;3,00;3,26;5,50;212,00;10,55;45,18;125,20
2,50;2,50;1,92;5,00;131,00;14,50;82,67;123,30
3,00;4,00;2,70;6,00;393,00;15,50;137,68;123,30
3,00;2,50;2,81;6,00;251,00;15,00;63,75;123,30
2,50;3,00;2,62;7,30;519,65;22,00;142,99;123,20
3,00;3,50;3,26;5,50;95,00;10,55;104,73;123,20
2,50;3,00;3,11;4,50;22,00;6,55;72,53;123,20
2,50;2,50;1,92;5,00;131,00;14,50;102,21;123,30
3,00;2,50;2,81;6,00;197,00;15,00;62,31;123,10
2,00;2,50;3,50;6,00;97,00;11,75;83,78;123,10
2,50;3,00;3,26;5,50;212,00;10,55;82,13;123,10
2,50;2,50;2,83;4,00;88,00;5,50;54,34;123,10
2,00;2,50;3,50;6,00;97,00;11,75;78,76;123,00
2,50;2,50;2,20;5,50;494,50;15,50;141,07;122,90
2,50;3,00;3,16;5,50;682,00;11,00;27,66;126,70
2,00;2,00;2,12;2,50;130,00;1,78;72,55;119,00
2,50;3,00;3,22;6,00;257,10;13,05;113,96;122,90
2,50;3,00;3,26;5,50;74,40;10,55;87,02;122,90
2,50;3,00;3,26;5,50;338,50;10,55;91,06;122,90
3,00;2,50;3,60;5,30;172,00;8,00;28,76;124,10
2,50;2,50;2,45;5,75;784,00;15,50;134,06;122,80
2,50;3,00;3,16;7,00;267,65;18,05;128,61;122,80
2,50;2,50;2,63;5,50;680,00;13,50;123,16;122,80
2,50;3,00;3,10;6,00;354,00;13,62;74,69;122,80
2,50;3,00;3,26;5,50;805,00;10,55;65,07;124,50
2,50;2,50;1,92;5,00;131,00;14,50;113,72;119,30
2,50;3,00;3,26;5,50;400,00;10,55;143,71;122,80
2,50;2,50;2,83;4,00;88,00;5,50;59,38;119,40
3,00;2,50;3,34;6,00;204,00;12,50;101,52;122,70
2,50;3,00;3,29;5,00;19,70;8,05;48,27;122,70
2,00;2,00;1,77;2,20;142,00;2,03;20,34;123,10
2,00;2,50;3,02;4,30;240,00;6,00;42,64;124,60
3,00;3,00;3,50;6,00;285,00;11,75;71,70;122,60
2,00;2,00;2,12;2,50;130,00;1,78;56,35;122,60
2,50;3,00;3,26;5,50;85,00;10,55;68,45;122,50
2,50;3,00;3,26;5,50;504,00;10,55;56,11;122,60
3,50;2,50;2,20;5,50;356,00;15,50;92,36;122,40
3,00;2,50;3,33;5,30;225,00;9,25;32,69;122,40
2,50;3,00;2,26;3,00;165,50;3,50;77,47;122,40
3,00;2,50;2,81;6,00;197,00;15,00;82,36;122,40
2,50;3,00;3,01;6,00;477,00;14,05;117,03;122,40
2,00;2,50;3,50;6,00;97,00;11,75;70,39;122,40
3,00;3,00;3,50;6,00;315,25;11,75;47,56;122,40
2,50;2,50;3,26;5,30;155,00;9,60;55,08;122,40
3,00;3,50;2,98;6,50;745,00;16,55;104,09;122,40
3,00;2,50;3,60;5,30;117,00;8,00;27,59;122,40
2,50;2,50;2,26;4,50;393,00;10,55;140,81;122,30
1,00;2,00;1,87;2,20;46,50;1,55;31,73;124,70
3,00;2,50;2,81;6,00;251,00;15,00;52,65;122,30
2,50;3,00;3,48;7,00;144,40;16,55;88,81;122,20
2,50;2,50;3,23;6,00;327,50;13,00;92,77;122,20
2,50;3,00;3,34;6,00;303,20;12,50;71,41;122,20
2,50;3,00;3,16;7,00;267,65;18,05;101,77;122,10
2,50;2,50;3,02;6,00;315,50;14,00;77,16;122,10
2,50;2,50;2,77;5,00;264,00;10,50;64,21;122,10
2,00;2,50;3,50;6,00;97,00;11,75;69,36;122,10
3,00;2,50;2,45;5,75;784,00;15,50;95,96;122,20
2,50;3,00;2,70;6,00;865,25;15,50;144,74;121,90
2,50;2,50;1,92;5,00;131,00;14,50;99,16;121,90
2,50;2,50;2,26;4,50;393,00;10,55;102,27;121,90
2,50;3,00;2,49;6,00;352,65;16,50;215,96;121,80
2,00;2,50;3,50;6,00;97,00;11,75;48,31;125,30
2,50;3,00;3,26;5,50;75,00;10,55;51,82;121,90
3,00;3,00;2,84;5,50;450,00;12,50;165,59;121,70
3,00;2,50;3,23;6,00;300,00;13,00;52,14;121,70
2,50;2,50;2,83;4,00;88,00;5,50;66,66;119,70
3,00;2,50;3,34;6,00;204,00;12,50;168,75;121,70
2,50;3,00;3,26;5,50;500,00;10,55;104,22;121,70
2,50;3,00;3,26;5,50;504,00;10,55;55,16;126,20
3,00;3,00;3,50;6,00;285,00;11,75;83,81;121,60
2,50;3,00;2,83;7,30;1060,00;21,00;182,02;121,60
2,50;3,00;3,00;5,50;920,00;11,75;88,09;121,60
2,50;3,00;1,76;4,00;456,40;10,55;95,46;121,60
2,50;2,50;3,54;6,20;380,00;12,50;86,72;121,60
2,50;3,00;3,26;5,50;94,50;10,55;144,62;121,60
2,50;2,50;3,02;6,00;315,50;14,00;48,00;121,40
2,50;3,00;3,77;6,00;63,50;10,50;70,58;121,60
2,00;2,50;4,03;6,00;125,75;9,25;49,37;121,60
2,50;2,50;2,77;5,00;264,00;10,50;138,33;121,70
2,50;3,50;2,20;5,50;680,00;15,50;84,20;121,50
2,50;3,00;2,69;6,20;1119,60;16,50;148,79;121,50
3,00;2,50;3,23;6,00;160,50;13,00;86,73;121,50
3,00;3,50;3,26;5,50;95,00;10,55;115,28;121,50
3,00;2,50;3,60;5,30;90,50;8,00;25,08;126,60
2,50;3,00;3,27;5,50;600,00;10,50;38,88;121,50
2,50;2,50;3,26;5,50;157,50;10,55;143,60;121,40
2,50;3,00;3,22;6,00;257,10;13,05;219,25;121,40
3,00;2,50;3,23;6,00;172,00;13,00;169,03;121,40
2,50;3,00;3,77;6,00;340,05;10,50;111,39;121,40
3,00;3,00;3,62;5,00;71,50;6,50;98,40;121,40
3,00;3,00;3,40;5,00;37,50;7,50;93,65;121,40
2,50;3,50;2,20;5,50;680,00;15,50;77,17;121,30
3,00;3,00;3,02;6,00;91,00;14,00;87,33;121,10
3,00;3,00;1,83;4,50;348,00;12,55;122,68;121,30
2,50;3,00;2,83;5,50;276,00;12,55;182,04;121,30
2,50;3,00;3,22;6,00;257,10;13,05;171,92;121,30
3,00;3,50;3,79;5,50;48,30;8,05;103,85;121,30
3,00;3,50;3,79;5,50;48,30;8,05;83,98;121,30
3,00;2,50;3,60;5,30;117,00;8,00;36,93;121,40
3,00;2,50;3,34;6,00;204,00;12,50;135,99;121,20
2,50;2,50;2,20;5,50;959,00;15,50;121,90;121,10
3,50;2,50;2,20;5,50;356,00;15,50;129,71;121,10
2,00;2,50;1,96;4,20;352,65;10,55;73,62;121,10
2,00;2,00;1,16;1,90;90,00;3,50;22,36;126,70
2,50;2,50;3,23;6,00;327,50;13,00;58,98;121,00
2,50;3,00;2,83;5,50;276,00;12,55;120,92;120,90
2,50;3,00;3,10;6,00;354,00;13,62;74,57;121,20
2,50;2,50;3,26;5,50;157,50;10,55;168,13;121,00
2,50;3,00;2,48;6,00;530,00;16,55;122,40;121,00
2,50;2,50;1,66;4,00;565,00;11,00;141,93;121,00
2,50;3,00;2,62;7,30;519,65;22,00;189,92;120,90
2,50;3,00;3,77;6,00;63,50;10,50;92,38;121,00
2,50;2,50;2,81;6,00;385,00;15,00;62,92;120,80
3,00;2,50;2,81;6,00;251,00;15,00;72,57;120,80
3,00;3,00;1,83;4,50;348,00;12,55;125,43;120,90
2,00;2,00;3,90;7,00;302,00;14,55;106,79;120,50
3,00;2,50;4,56;6,00;62,50;6,75;64,25;120,80
2,00;2,50;3,50;6,00;97,00;11,75;57,30;121,00
2,50;3,00;3,29;5,00;273,70;8,05;131,57;120,80
2,50;2,50;2,83;4,00;27,50;5,50;99,89;120,50
2,50;3,00;3,53;4,50;92,65;4,55;43,94;120,80
3,00;2,50;2,81;6,00;197,00;15,00;20,39;126,90
2,50;2,50;3,54;6,20;380,00;12,50;231,18;120,80
3,00;3,00;3,50;6,00;315,25;11,75;25,94;128,70
2,50;2,50;2,80;4,50;17,00;8,00;77,37;120,90
2,50;3,00;3,09;4,00;8,50;4,30;74,74;120,80
2,50;3,00;3,01;6,00;477,00;14,05;144,26;120,70
